Date and Time,"Lentz Public Health Floor 1, OAU 12-01, OA Fan DP, Present Value (Units: in  W.C.)","Lentz Public Health Floor 1, OAU 12-01, EA Fan DP, Present Value (Units: in  W.C.)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA Fan Speed Command (Units: %)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan Speed Command (Units: %)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA Flow Local (Units: CFM)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Exhaust Air Flow Local (Units: CFM)","Lentz Public Health Floor 1, OAU 12-01, OA Flow Correction, Present Value","Lentz Public Health Floor 1, OAU 12-01, OA Flow Pgain, Present Value","Lentz Public Health Floor 1, OAU 12-01, EA Flow Correction, Present Value","Lentz Public Health Floor 1, OAU 12-01, EA Flow Pgain, Present Value","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Outside Air Flow Setpoint (Units: CFM)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Exhaust Air Flow Setpoint (Units: CFM)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Fan_Status","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA_Fan Status","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Filter Status","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA_Filter Staus","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Fire_Alarm Shutdown","Lentz Public Health Floor 1, OAU 12-01, AHU12-01 Supply Fan Status, Present Value","Lentz Public Health Floor 1, OAU 12-01, AHU12-01 Return Fan Status, Present Value","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA Fan S/S Command","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan S/S Command","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Outside Air Unit Enable BAS","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Fan Failure","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Fan Failure Reset","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan Failure","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan Failure Reset"
3/15/2016 15:51,0.858,0.552,69.662,58.434,6975.723,5501.484,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 16:01,0.863,0.553,69.826,58.508,6992.961,5498.766,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 16:11,0.859,0.553,69.746,58.434,6976.637,5511.816,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 16:21,0.861,0.548,69.746,58.47,6985.953,5483.853,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 16:31,0.857,0.549,69.755,58.562,6982.055,5488.191,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 16:41,0.863,0.552,69.755,58.521,6995.165,5501.2,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 16:51,0.857,0.553,69.755,58.544,6965.371,5496.908,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 17:01,0.865,0.552,69.755,58.544,7008.473,5494.472,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 17:11,0.866,0.556,69.763,58.516,7007.547,5525.457,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 17:21,0.868,0.543,70.014,58.47,7036.26,5500.67,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 17:31,0.867,0.553,69.98,58.54,7010.354,5480.046,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 17:41,0.87,0.546,69.95,58.564,7007.682,5492.967,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 17:51,0.861,0.546,70.107,58.509,6984.974,5472.371,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 18:01,0.864,0.549,69.908,58.535,6997.532,5491.527,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 18:11,0.86,0.554,69.908,58.564,6970.572,5514.598,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 18:21,0.863,0.551,69.973,58.564,6994.522,5487.241,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 18:31,0.862,0.546,69.973,58.564,6992.566,5488.429,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 18:41,0.863,0.55,70.155,58.538,6995.204,5499.992,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 18:51,0.867,0.556,70.119,58.623,7027.772,5526.287,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 19:01,0.862,0.553,70.092,58.611,7019.191,5505.093,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 19:11,0.856,0.552,70.092,58.562,7005.653,5506.806,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
3/15/2016 19:21,0.863,0.555,70.092,58.589,6993.667,5509.24,1,15,0.774,15,7000,5500,On,On,Clean,Clean,Normal,On,On,On,On,Auto,Off,Off,Off,Off
